experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8312	20220512 064529	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.144227177940216	0.734236518382677	548	6453	72	0.0661724576471664	10224	14496000	44
HT8312	20220512 064708	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.115639491814561	0.718817888564453	807	5455	105	0.067331802514814	9830	14530000	45
HT8312	20220512 064758	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.167974983664928	0.423446070845309	675	4565	53	0.0774331860846996	9646	13394000	46
HT8312	20220512 065135	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0520945394743979	0.990747633903171	791	3517	413	0.0390651107963462	12204	13956000	47
HT8312	20220512 065207	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.245900205830764	0.265302602361399	272	6597	44	0.0715114451058761	10228	13652000	48
HT8312	20220512 065326	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.202813206236511	0.951347630601563	332	4910	37	0.0569567349209893	11602	14438000	49
HT8312	20220512 065443	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.11671830778135	0.572736529607885	766	4872	108	0.0643874328752913	10352	14488000	50
HT8312	20220512 065537	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.14312179317656	0.327766494586272	830	4215	98	0.0715207440497234	9360	13440000	51
HT8312	20220512 065621	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.229316507515069	0.393344031555881	644	5075	41	0.061816769997288	11234	14086000	52
HT8312	20220512 065726	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0852233580271248	0.404612072499818	103	4857	139	0.0740066683077457	9240	14280000	53
